Ticker
NVDA
AAPL
MSFT
AMZN
GOOG
GOOGL
META
TSLA
BRK-B
AVGO
LLY
WMT
JPM
V
UNH
XOM
ORCL
MA
COST
HD
PG
NFLX
JNJ
BAC
CRM
ABBV
CVX
KO
TMUS
MRK
WFC
BX
CSCO
ACN
AMD
ADBE
PEP
MS
LIN
NOW
DIS
MCD
AXP
IBM
PM
ABT
TMO
ISRG
GE
INTU
CAT
GS
TXN
VZ
QCOM
BKNG
DHR
CMCSA
T
RTX
NEE
SPGI
AMGN
PGR
BLK
LOW
SYK
SCHW
HON
UBER
ETN
KKR
UNP
AMAT
PFE
PLTR
TJX
BSX
C
PANW
COP
LMT
ANET
ADP
FI
DE
BMY
VRTX
CB
MU
SBUX
UPS
GILD
NKE
MMC
MDT
BA
ADI
PLD
INTC
DELL
SO
SHW
MO
AMT
LRCX
GEV
ELV
TT
CI
ICE
PH
CTAS
EQIX
WM
DUK
APH
CRWD
MDLZ
MCO
WELL
SNPS
PYPL
KLAC
HCA
CDNS
ABNB
AON
MSI
REGN
CMG
CME
PNC
USB
MCK
ZTS
ITW
CEG
MAR
CL
GD
EOG
EMR
APD
WMB
NOC
FDX
FTNT
CVS
TDG
COF
ORLY
MMM
ECL
SPG
OKE
CARR
CSX
ADSK
RSG
AJG
BDX
RCL
KMI
DLR
FCX
SLB
TFC
AFL
HLT
GM
SRE
PCAR
NSC
ROP
TRV
MET
PSA
GWW
BK
NXPI
FICO
VST
TGT
JCI
PCG
AMP
URI
CPRT
CHTR
PSX
ALL
FANG
MNST
AEP
DHI
AZO
PAYX
MPC
CMI
O
PWR
NEM
D
OXY
COR
AXON
HWM
ROST
AIG
FAST
LHX
ODFL
NDAQ
KVUE
FIS
PEG
KMB
HES
MSCI
CCI
TRGP
LEN
AME
TEL
PRU
VLO
BKR
EA
DFS
KDP
STZ
F
KR
CTVA
IR
EW
XEL
GLW
DAL
VRSK
CBRE
GRMN
IT
OTIS
EXC
CTSH
LULU
A
KHC
GEHC
YUM
VMC
ACGL
SYY
EXR
HPQ
LVS
MLM
MTB
IQV
RMD
MCHP
HUM
GIS
HSY
NUE
IRM
HIG
DD
IDXX
ED
VICI
WAB
CCL
EIX
RJF
AVB
TTWO
ETR
LYV
WEC
BRO
WTW
FITB
CSGP
ROK
DOW
EFX
UAL
ANSS
CNC
XYL
CAH
GPN
EBAY
KEYS
EQR
SW
TSCO
ON
DXCM
PPG
STT
HPE
HAL
EQT
K
MPWR
DOV
DECK
CHD
NVR
GDDY
AWK
VTR
LYB
FTV
BR
PHM
TROW
VLTO
CPAY
NTAP
PPL
DTE
HBAN
TYL
ADM
DVN
SYF
MTD
WBD
AEE
HUBB
FE
RF
CINF
ROL
EL
CDW
WRB
SBAC
EXPE
ATO
WST
PTC
BIIB
ES
IFF
WDC
TSN
TDY
WY
ERIE
CBOE
STLD
PKG
LDOS
WAT
NTRS
ZBH
STE
STX
CLX
MKC
FOXA
INVH
CNP
CMS
FOX
CFG
IP
ESS
BLDR
ZBRA
CTRA
LH
COO
OMC
NRG
FSLR
PFG
DRI
BF-B
LUV
KEY
MAA
SNA
BBY
ARE
FDS
L
PODD
GEN
JBHT
DGX
HOLX
BALL
VRSN
NI
PNR
TRMB
SMCI
NWSA
NWS
IEX
TER
KIM
GPC
ALGN
MOH
MAS
EXPD
BAX
UDR
J
HRL
EG
DG
LNT
AVY
MRO
ULTA
VTRS
CF
TXT
DPZ
DOC
AMCR
EVRG
JBL
MRNA
NDSN
FFIV
BXP
DLTR
EPAM
POOL
AKAM
SWKS
REG
INCY
RVTY
SWK
DVA
CPB
TPR
PAYC
UHS
CPT
CAG
RL
CHRW
ALB
HST
JKHY
APTV
KMX
TAP
DAY
BG
ALLE
SJM
SOLV
EMN
NCLH
JNPR
AIZ
BEN
MGM
TECH
LW
GNRC
IPG
CTLT
PNW
AOS
WYNN
CRL
LKQ
MKTX
FRT
AES
HSIC
GL
TFX
MHK
HAS
ENPH
APA
MOS
CE
CZR
IVZ
MTCH
PARA
HII
BWA
FMC
WBA
QRVO
AMTM
